timestamp,open,high,low,close,volume
2024-02-20,0.2,7.71,0.2,1.965,194055514.31
2024-02-21,1.965,2.189,1.673,1.892,188378887.49
2024-02-22,1.892,2.043,1.802,1.93,102619065.23
2024-02-23,1.929,2.178,1.849,1.927,122304826.77
2024-02-24,1.927,1.965,1.86,1.895,36500144.61
2024-02-25,1.895,1.957,1.876,1.948,30751708.31
2024-02-26,1.948,2.014,1.858,1.971,50584453.76
2024-02-27,1.971,2.063,1.871,1.913,64541173.39
2024-02-28,1.913,1.975,1.675,1.839,72470624.68
2024-02-29,1.839,1.919,1.7,1.747,53330216.45
2024-03-01,1.748,1.843,1.747,1.816,36189920.14
2024-03-02,1.816,1.85,1.79,1.842,29897302.96
2024-03-03,1.842,1.94,1.707,1.843,50953441.98
2024-03-04,1.844,1.874,1.741,1.795,43415480.26
2024-03-05,1.795,2.358,1.743,2.252,244567758.35
2024-03-06,2.252,2.566,2.18,2.548,154395955.47
2024-03-07,2.548,2.579,2.307,2.423,60781330.14
2024-03-08,2.423,2.488,2.18,2.293,66477607.65
2024-03-09,2.293,2.5,2.267,2.41,69172349.77
2024-03-10,2.409,2.527,2.3,2.426,61896978.64
2024-03-11,2.427,2.597,2.3,2.591,88292300.53
2024-03-12,2.591,2.673,2.3,2.48,68570102.66
2024-03-13,2.481,2.67,2.366,2.629,70082046.39
2024-03-14,2.629,2.654,2.252,2.389,74923259.39
2024-03-15,2.389,2.425,2.002,2.197,74761654.3
2024-03-16,2.197,2.26,1.984,2.039,52799169.69
2024-03-17,2.039,2.146,1.916,2.116,41273862.49
2024-03-18,2.116,2.121,1.906,1.935,38850176.61
2024-03-19,1.936,2.082,1.75,1.916,73394777.74
2024-03-20,1.916,2.153,1.859,2.137,48955798.31
2024-03-21,2.136,2.183,2.05,2.089,29142854.03
2024-03-22,2.088,2.169,1.973,2.036,28199662.78
2024-03-23,2.035,2.119,1.998,2.07,15884697.26
2024-03-24,2.069,2.194,2.034,2.188,20020134.76
2024-03-25,2.188,2.33,2.13,2.281,30329453.35
2024-03-26,2.281,2.397,2.214,2.306,27836440.42
2024-03-27,2.306,2.404,2.192,2.236,32472762.71
2024-03-28,2.235,2.369,2.207,2.277,25599858.38
2024-03-29,2.278,2.284,2.145,2.181,20192065.73
2024-03-30,2.181,2.201,2.1,2.135,17021034.19
2024-03-31,2.135,2.191,2.121,2.179,12247024.96
2024-04-01,2.179,2.184,1.971,2.04,27638819.6
2024-04-02,2.04,2.046,1.876,1.917,28583658.77
2024-04-03,1.917,1.97,1.85,1.894,20359657.45
2024-04-04,1.893,1.986,1.841,1.923,18739573.58
2024-04-05,1.923,1.928,1.802,1.886,17605890.47
2024-04-06,1.886,1.955,1.878,1.931,7884420.78
2024-04-07,1.931,1.976,1.917,1.975,10978673.68
2024-04-08,1.975,2.079,1.92,2.054,20586427.84
2024-04-09,2.055,2.069,1.866,1.878,26365061.73
2024-04-10,1.877,1.896,1.77,1.861,26536810.82
2024-04-11,1.862,1.919,1.815,1.826,16514611.37
2024-04-12,1.826,1.857,1.305,1.521,48351220.16
2024-04-13,1.522,1.522,1.122,1.422,75324524.43
2024-04-14,1.421,1.51,1.339,1.485,45412060.33
2024-04-15,1.484,1.511,1.283,1.346,51616603.75
2024-04-16,1.346,1.357,1.227,1.272,33827722.14
2024-04-17,1.273,1.306,1.183,1.231,26196823.86
2024-04-18,1.23,1.271,1.189,1.251,14171490.71
2024-04-19,1.251,1.275,1.148,1.207,21127063.62
2024-04-20,1.207,1.352,1.185,1.352,17969512.27
2024-04-21,1.352,1.373,1.287,1.312,14268905.98
2024-04-22,1.313,1.375,1.306,1.337,15631148.6
2024-04-23,1.337,1.353,1.29,1.316,13754804.08
2024-04-24,1.317,1.397,1.19,1.202,22474815.84
2024-04-25,1.202,1.221,1.138,1.193,29979428.56
